ano;provres;depres;pesonac;cant
2010;10;42;1.Menos de 2500 gramos;24
2010;10;42;2.2500 gramos y mas;272
2010;10;42;3.Sin especificar;1
2010;10;49;1.Menos de 2500 gramos;230
2010;10;49;2.2500 gramos y mas;2863
2010;10;49;3.Sin especificar;24
2010;10;56;1.Menos de 2500 gramos;3
2010;10;56;2.2500 gramos y mas;28
2010;10;56;3.Sin especificar;2
2010;10;63;1.Menos de 2500 gramos;14
2010;10;63;2.2500 gramos y mas;232
2010;10;63;3.Sin especificar;1
2010;10;70;1.Menos de 2500 gramos;29
2010;10;70;2.2500 gramos y mas;291
2010;10;70;3.Sin especificar;1
2010;10;77;1.Menos de 2500 gramos;4
2010;10;77;2.2500 gramos y mas;75
2010;10;77;3.Sin especificar;2
2010;10;84;1.Menos de 2500 gramos;22
2010;10;84;2.2500 gramos y mas;209
2010;10;84;3.Sin especificar;1
2010;10;91;1.Menos de 2500 gramos;33
2010;10;91;2.2500 gramos y mas;402
2010;10;91;3.Sin especificar;1
2010;10;98;1.Menos de 2500 gramos;15
2010;10;98;2.2500 gramos y mas;189
2010;10;105;1.Menos de 2500 gramos;12
2010;10;105;2.2500 gramos y mas;359
2010;10;105;3.Sin especificar;2
2010;10;112;1.Menos de 2500 gramos;31
2010;10;112;2.2500 gramos y mas;488
2010;10;112;3.Sin especificar;6
2010;10;999;1.Menos de 2500 gramos;1
2010;10;999;2.2500 gramos y mas;15
2010;14;7;1.Menos de 2500 gramos;42
2010;14;7;2.2500 gramos y mas;783
2010;14;7;3.Sin especificar;3
2010;14;14;1.Menos de 2500 gramos;1986
2010;14;14;2.2500 gramos y mas;23420
2010;14;14;3.Sin especificar;51
2010;14;21;1.Menos de 2500 gramos;315
2010;14;21;2.2500 gramos y mas;4065
2010;14;21;3.Sin especificar;6
2010;14;28;1.Menos de 2500 gramos;66
2010;14;28;2.2500 gramos y mas;932
2010;14;28;3.Sin especificar;10
2010;14;35;1.Menos de 2500 gramos;20
2010;14;35;2.2500 gramos y mas;435
2010;14;42;1.Menos de 2500 gramos;158
2010;14;42;2.2500 gramos y mas;2187
2010;14;42;3.Sin especificar;3
2010;14;49;1.Menos de 2500 gramos;30
2010;14;49;2.2500 gramos y mas;594
2010;14;56;1.Menos de 2500 gramos;61
2010;14;56;2.2500 gramos y mas;940
2010;14;56;3.Sin especificar;19
2010;14;63;1.Menos de 2500 gramos;111
2010;14;63;2.2500 gramos y mas;1381
2010;14;63;3.Sin especificar;14
2010;14;70;2.2500 gramos y mas;67
2010;14;77;1.Menos de 2500 gramos;3
2010;14;77;2.2500 gramos y mas;26
2010;14;84;1.Menos de 2500 gramos;31
2010;14;84;2.2500 gramos y mas;529
2010;14;91;1.Menos de 2500 gramos;192
2010;14;91;2.2500 gramos y mas;2593
2010;14;91;3.Sin especificar;24
2010;14;98;1.Menos de 2500 gramos;263
2010;14;98;2.2500 gramos y mas;3938
2010;14;98;3.Sin especificar;22
2010;14;105;1.Menos de 2500 gramos;56
2010;14;105;2.2500 gramos y mas;707
2010;14;105;3.Sin especificar;9
2010;14;112;1.Menos de 2500 gramos;16
2010;14;112;2.2500 gramos y mas;167
2010;14;112;3.Sin especificar;5
2010;14;119;1.Menos de 2500 gramos;107
2010;14;119;2.2500 gramos y mas;1565
2010;14;119;3.Sin especificar;1
2010;14;126;1.Menos de 2500 gramos;29
2010;14;126;2.2500 gramos y mas;609
2010;14;133;1.Menos de 2500 gramos;50
2010;14;133;2.2500 gramos y mas;756
2010;14;140;1.Menos de 2500 gramos;227
2010;14;140;2.2500 gramos y mas;3125
2010;14;147;1.Menos de 2500 gramos;116
2010;14;147;2.2500 gramos y mas;1512
2010;14;147;3.Sin especificar;9
2010;14;154;1.Menos de 2500 gramos;3
2010;14;154;2.2500 gramos y mas;53
2010;14;161;1.Menos de 2500 gramos;111
2010;14;161;2.2500 gramos y mas;1632
2010;14;161;3.Sin especificar;32
2010;14;168;1.Menos de 2500 gramos;31
2010;14;168;2.2500 gramos y mas;281
2010;14;168;3.Sin especificar;2
2010;14;175;1.Menos de 2500 gramos;19
2010;14;175;2.2500 gramos y mas;165
2010;14;175;3.Sin especificar;3
2010;14;182;1.Menos de 2500 gramos;106
2010;14;182;2.2500 gramos y mas;1631
2010;14;182;3.Sin especificar;4
2010;14;999;1.Menos de 2500 gramos;1
2010;14;999;2.2500 gramos y mas;80
2010;18;7;1.Menos de 2500 gramos;57
2010;18;7;2.2500 gramos y mas;706
2010;18;7;3.Sin especificar;14
2010;18;14;1.Menos de 2500 gramos;4
2010;18;14;2.2500 gramos y mas;34
2010;18;21;1.Menos de 2500 gramos;624
2010;18;21;2.2500 gramos y mas;6683
2010;18;21;3.Sin especificar;71
2010;18;28;1.Menos de 2500 gramos;31
2010;18;28;2.2500 gramos y mas;427
2010;18;28;3.Sin especificar;9
2010;18;35;1.Menos de 2500 gramos;64
2010;18;35;2.2500 gramos y mas;997
2010;18;35;3.Sin especificar;25
2010;18;42;1.Menos de 2500 gramos;22
2010;18;42;2.2500 gramos y mas;242
2010;18;42;3.Sin especificar;4
2010;18;49;1.Menos de 2500 gramos;32
2010;18;49;2.2500 gramos y mas;611
2010;18;49;3.Sin especificar;16
2010;18;56;1.Menos de 2500 gramos;11
2010;18;56;2.2500 gramos y mas;160
2010;18;56;3.Sin especificar;1
2010;18;63;1.Menos de 2500 gramos;23
2010;18;63;2.2500 gramos y mas;196
2010;18;63;3.Sin especificar;2
2010;18;70;1.Menos de 2500 gramos;164
2010;18;70;2.2500 gramos y mas;1649
2010;18;70;3.Sin especificar;5
2010;18;77;1.Menos de 2500 gramos;11
2010;18;77;2.2500 gramos y mas;134
2010;18;77;3.Sin especificar;23
2010;18;84;1.Menos de 2500 gramos;38
2010;18;84;2.2500 gramos y mas;502
2010;18;84;3.Sin especificar;33
2010;18;91;1.Menos de 2500 gramos;40
2010;18;91;2.2500 gramos y mas;617
2010;18;91;3.Sin especificar;10
2010;18;98;1.Menos de 2500 gramos;9
2010;18;98;2.2500 gramos y mas;170
2010;18;98;3.Sin especificar;8
2010;18;105;1.Menos de 2500 gramos;61
2010;18;105;2.2500 gramos y mas;777
2010;18;105;3.Sin especificar;4
2010;18;112;1.Menos de 2500 gramos;51
2010;18;112;2.2500 gramos y mas;680
2010;18;112;3.Sin especificar;2
2010;18;119;1.Menos de 2500 gramos;57
2010;18;119;2.2500 gramos y mas;1010
2010;18;119;3.Sin especificar;20
2010;18;126;1.Menos de 2500 gramos;34
2010;18;126;2.2500 gramos y mas;459
2010;18;126;3.Sin especificar;3
2010;18;133;1.Menos de 2500 gramos;15
2010;18;133;2.2500 gramos y mas;179
2010;18;140;1.Menos de 2500 gramos;31
2010;18;140;2.2500 gramos y mas;264
2010;18;140;3.Sin especificar;7
2010;18;147;1.Menos de 2500 gramos;23
2010;18;147;2.2500 gramos y mas;293
2010;18;147;3.Sin especificar;12
2010;18;154;1.Menos de 2500 gramos;25
2010;18;154;2.2500 gramos y mas;212
2010;18;154;3.Sin especificar;10
2010;18;161;1.Menos de 2500 gramos;24
2010;18;161;2.2500 gramos y mas;303
2010;18;161;3.Sin especificar;5
2010;18;168;1.Menos de 2500 gramos;103
2010;18;168;2.2500 gramos y mas;1037
2010;18;168;3.Sin especificar;18
2010;18;175;1.Menos de 2500 gramos;7
2010;18;175;2.2500 gramos y mas;139
